newid	a1	a2	c1civic	c1legal	c1media	c1pressn	c1rallies	c1train	c1visitn	c2conflict	c2count	c2logist	c2pressn	c2quickc	c2voting	country	cow	dateexec	dateleg	del1days	del1num	del2days	del2num	del3days	del3num	dfin	dfinpn	dpoel	dpoeln	dprel	elrunoff	eltrans	exelec	joint	legelec	maxa1	maxa2	maxobsdom	maxobsdomn	maxr01r	maxr01str	maxr02r	maxr03r	maxr11cheat	maxr12cap	maxr13viol	maxr21cheat	maxr22cap	maxr23viol	maxr111r	maxr112r	maxr113r	maxr114r	maxr121r	maxr122r	maxr123r	maxr124r	maxr211r	maxr212r	maxr213r	maxr221r	maxr222r	maxr223r	maxr224r	morg2	obsdom	obsdomn	obsnum	r01r	r01str	r02r	r03r	r11cheat	r12cap	r13viol	r21cheat	r22cap	r23viol	r111r	r112r	r113r	r114r	r121r	r122r	r123r	r124r	r211r	r212r	r213r	r221r	r222r	r223r	r224r	sumc1civic	sumc1legal	sumc1pressn	sumc1rallies	sumc1train	sumc1visitn	sumc2conflict	sumc2count	sumc2logist	sumc2pressn	sumc2quickc	sumc2voting	sumdfinpn	sumdpoeln	year	rec	icr1	icr2	icr1per	icr2per	A_merge
31	.5	 	0	0	0	0	0	0	0	0	0	0	0	0	1	Afghanistan	700	10	 	 	13	0	0	0	0	0	 	1	 	0	0	0	1	 	0	.5	1	1	 	1	1	0	0	2	2	3	1	2	0	0	2	0	2	2	1	2	0	1	1	1	2	2	1	1	3	1	 	13	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	0	1	 	 	 	0	0	1	1	0	1	0	1	0	2	0	2	217	6	2004	0	 	 	 	 	3
31	.5	1	0	0	1	1	1	0	1	0	1	0	2	0	1	Afghanistan	700	10	 	35	16	12	26	0	0	1	217	1	6	1	0	1	1	 	0	.5	1	1	 	1	1	0	0	2	2	3	1	2	0	0	2	0	2	2	1	2	0	1	1	1	2	2	1	1	15	1	 	42	1	1	0	0	2	2	3	1	2	0	0	2	0	2	2	1	2	0	1	0	1	2	2	1	1	0	0	1	1	0	1	0	1	0	2	0	2	217	6	2004	0	0	0	0	0	3
48	1	2	0	0	1	0	0	0	1	0	1	0	1	0	1	Albania	339	 	3	9	3	0	0	0	0	1	36	0	 	1	1	0	0	 	1	1	2	0	 	3	3	0	0	3	2	3	3	1	3	3	3	3	3	2	2	2	0	0	2	3	0	1	1	1	2	0	 	3	3	3	0	0	3	2	3	3	0	2	3	2	3	3	2	2	0	0	0	2	3	0	0	0	0	0	0	0	0	0	1	0	3	0	2	0	3	120	5	1991	0	0	0	0	0	3
48	1	2	0	0	1	0	0	0	0	0	1	0	0	0	1	Albania	339	 	3	10	4	7	4	0	0	1	64	1	5	0	1	0	0	 	1	1	2	0	 	3	3	0	0	3	2	3	3	1	3	3	3	3	3	2	2	2	0	0	2	3	0	1	1	1	3	0	 	8	2	2	0	0	3	2	0	1	1	0	3	3	3	3	1	1	2	0	0	1	1	0	1	0	1	0	0	0	0	0	1	0	3	0	2	0	3	120	5	1991	0	2	1	.111111111938953	.142857149243355	3
48	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	Albania	339	 	3	5	6	3	2	5	7	1	20	0	 	0	1	0	0	 	1	1	2	0	 	3	3	0	0	3	2	3	3	1	3	3	3	3	3	2	2	2	0	0	2	3	0	1	1	1	13	0	 	8	2	2	 	0	1	1	1	0	1	3	1	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	3	0	2	0	3	120	5	1991	0	4	1	.222222223877907	.142857149243355	3
49	0	1	0	1	0	0	0	0	1	0	1	0	0	0	1	Albania	339	 	3	25	2	0	0	0	0	1	65	0	 	0	0	0	0	 	1	.5	1	0	 	2	2	0	1	1	3	2	1	2	1	1	0	0	1	2	3	1	3	0	0	1	0	2	1	0	1	0	 	2	2	2	0	1	0	2	0	1	1	0	1	0	0	0	2	1	1	3	0	0	1	0	1	0	0	0	1	1	0	0	4	0	2	0	1	0	3	92	4	1992	0	0	1	0	.142857149243355	3
49	0	1	0	0	1	0	0	0	2	0	0	0	0	0	1	Albania	339	 	3	5	 	0	0	0	0	0	 	1	3	1	0	0	0	 	1	.5	1	0	 	2	2	0	1	1	3	2	1	2	1	1	0	0	1	2	3	1	3	0	0	1	0	2	1	0	3	0	 	20	1	1	0	1	1	3	0	0	1	0	1	0	0	0	2	3	1	2	0	0	0	0	1	1	0	0	1	1	0	0	4	0	2	0	1	0	3	92	4	1992	0	2	0	.111111111938953	0	3
49	.5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Albania	339	 	3	16	1	0	0	0	0	1	2	0	 	0	0	0	0	 	1	.5	1	0	 	2	2	0	1	1	3	2	1	2	1	1	0	0	1	2	3	1	3	0	0	1	0	2	1	0	6	0	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	0	1	1	0	0	4	0	2	0	1	0	3	92	4	1992	0	0	0	0	0	3
49	0	1	0	0	0	1	0	0	1	0	1	0	1	0	1	Albania	339	 	3	5	11	0	0	0	0	1	25	1	1	0	1	0	0	 	1	.5	1	0	 	2	2	0	1	1	3	2	1	2	1	1	0	0	1	2	3	1	3	0	0	1	0	2	1	0	13	0	 	11	1	1	0	1	1	1	2	0	2	1	0	0	0	1	1	1	0	0	0	0	0	0	2	1	0	0	1	1	0	0	4	0	2	0	1	0	3	92	4	1992	0	2	1	.111111111938953	.142857149243355	3
53	.5	2	0	0	1	0	1	0	0	0	1	0	0	0	1	Albania	339	 	6	 	7	0	0	0	0	1	34	1	 	0	1	0	0	 	1	1	3	1	 	3	3	0	1	3	2	0	3	2	0	2	2	3	2	2	2	1	0	3	2	2	2	2	1	2	3	1	 	7	3	3	0	1	3	2	0	2	2	0	2	2	3	2	1	2	1	0	2	2	2	2	2	0	2	0	0	0	2	0	1	0	2	0	0	0	2	46	0	1996	0	1	1	.0555555559694767	.142857149243355	3
