country,r221r,r222r,r223r,r224r
Afghanistan, 0, 0, 0, 0
Albania, 0, 0, 0, 0
Algeria, 2, 2, 0, 0
Angola, 0, 0, 0, 0
Argentina, 1, 1, 1, 0
Armenia, 0, 0, 0, 0
Azerbaijan, 0, 0, 0, 0
Bangladesh, 0, 0, 0, 0
Belarus, 0, 2, 1, 2
Benin, 0, 2, 0, 0
Bolivia, 0, 1, 1, 0
Bosnia-Herz, 0, 0, 0, 0
Botswana, 0, 0, 0, 0
Brazil, 0, 1, 1, 0
Bulgaria, 0, 0, 0, 0
Burundi, 0, 0, 0, 0
Cambodia, 2, 3, 2, 3
Cameroon, 0, 0, 0, 0
Chile, 0, 0, 0, 0
Colombia, 0, 0, 0, 0
Congo, 1, 2, 3, 2
Costa Rica, 0, 0, 0, 0
Cote d'Ivoire, 0, 0, 0, 0
Croatia, 0, 0, 0, 0
Czech Rep., 0, 0, 0, 0
Dom. Rep., 0, 0, 0, 0
Ecuador, 0, 0, 0, 0
El Salvador, 2, 3, 3, 0
Eq. Guinea, 0, 0, 0, 0
Estonia, 1, 1, 1, 0
Fiji, 0, 0, 0, 0
France, 0, 0, 0, 0
GDR, 0, 0, 0, 0
Gambia, 0, 0, 0, 0
Georgia, 2, 3, 3, 3
Ghana, 2, 2, 1, 0
Grenada, 0, 0, 0, 0
Guatemala, 2, 2, 2, 1
Guinea, 0, 0, 0, 0
Guyana, 0, 0, 0, 0
Haiti, 0, 0, 0, 0
Honduras, 1, 2, 3, 0
Hungary, 1, 1, 0, 0
Indonesia, 2, 3, 2, 2
Jamaica, 0, 0, 0, 0
Kazakhstan, 0, 0, 0, 0
Kenya, 0, 0, 0, 0
Kyrgyzstan, 0, 0, 0, 0
Latvia, 0, 0, 0, 0
Lesotho, 0, 0, 0, 0
Liberia, 0, 0, 0, 0
Lithuania, 0, 0, 0, 0
Macedonia, 0, 0, 0, 0
Madagascar, 2, 1, 2, 0
Malawi, 0, 0, 0, 0
Malaysia, 0, 0, 0, 0
Mali, 0, 2, 0, 0
Mauritius, 0, 0, 0, 0
Mexico, 0, 0, 0, 0
Moldova, 1, 2, 2, 0
Mongolia, 2, 1, 1, 1
Morocco, 0, 0, 0, 0
Mozambique, 2, 3, 3, 3
Namibia, 1, 2, 1, 0
Nepal, 1, 2, 2, 0
Nicaragua, 2, 2, 2, 1
Niger, 0, 3, 0, 3
Nigeria, 3, 3, 3, 2
P. N. Guinea, 0, 0, 0, 0
Pakistan, 1, 2, 2, 0
Panama, 0, 0, 0, 0
Paraguay, 1, 2, 3, 0
Peru, 1, 3, 1, 2
Philippines, 3, 3, 3, 2
Poland, 1, 1, 0, 0
Romania, 2, 3, 2, 1
Russia, 0, 0, 0, 0
Rwanda, 2, 3, 2, 3
S. Africa, 0, 0, 0, 0
Senegal, 0, 0, 0, 0
Serbia, 0, 0, 0, 0
Montenegro, 0, 0, 0, 0
Sierra Leone, 0, 0, 0, 0
Slovakia, 0, 0, 0, 0
Slovenia, 0, 1, 0, 0
Solomon Is., 0, 0, 0, 0
Spain, 0, 0, 0, 0
Sri Lanka, 0, 0, 0, 0
Suriname, 1, 3, 3, 0
Swaziland, 0, 0, 0, 0
Taiwan, 0, 1, 0, 0
Tajikistan, 1, 3, 1, 0
Tanzania, 0, 0, 0, 0
Tanzania -Zanzibar, 0, 0, 0, 0
Thailand, 0, 0, 0, 0
Timor-Leste, 0, 0, 0, 0
Togo, 0, 0, 0, 0
Trinidad-Tobago, 0, 0, 0, 0
Tunisia, 0, 0, 0, 0
Turkey, 0, 2, 0, 0
USA, 0, 0, 0, 0
Uganda, 0, 0, 0, 0
Ukraine, 0, 0, 0, 0
Uruguay, 0, 1, 0, 0
Uzbekistan, 0, 0, 0, 0
Venezuela, 0, 0, 0, 0
Yemen, 0, 0, 0, 0
Zambia, 2, 3, 3, 3
Zimbabwe, 2, 3, 2, 0
