country,r111r,r112r,r113r,r114r
Algeria, 1, 1, 1, 1
Argentina, 0, 0, 1, 2
Belarus, 3, 3, 3, 3
Benin, 1, 0, 1, 1
Bolivia, 1, 0, 1, 0
Brazil, 0, 0, 1, 0
Cambodia, 3, 2, 3, 3
Congo, 3, 0, 0, 0
El Salvador, 1, 1, 2, 1
Estonia, 0, 0, 1, 0
Georgia, 3, 2, 2, 2
Ghana, 2, 0, 1, 2
Guatemala, 3, 2, 2, 3
Honduras, 0, 0, 0, 1
Hungary, 1, 0, 1, 1
Indonesia, 3, 2, 1, 2
Madagascar, 2, 0, 0, 2
Mali, 0, 0, 0, 0
Moldova, 1, 0, 1, 1
Mongolia, 3, 1, 1, 0
Mozambique, 3, 1, 2, 2
Namibia, 2, 1, 2, 2
Nepal, 2, 0, 1, 1
Nicaragua, 2, 2, 2, 2
Niger, 3, 3, 3, 0
Nigeria, 2, 0, 1, 1
Pakistan, 3, 3, 3, 3
Paraguay, 3, 0, 3, 1
Peru, 3, 1, 3, 3
Philippines, 2, 2, 2, 2
Poland, 0, 0, 0, 0
Rwanda, 3, 3, 1, 3
Romania, 3, 2, 3, 3
Slovenia, 1, 0, 1, 0
Suriname, 1, 1, 1, 1
Taiwan, 2, 0, 1, 0
Tajikistan, 0, 0, 2, 1
Turkey, 0, 0, 0, 1
Uruguay, 0, 1, 2, 1
Zambia, 3, 1, 2, 1
Zimbabwe, 2, 3, 3, 3
