country,r221r,r222r,r223r,r224r
Algeria, 2, 2, 0, 0
Argentina, 1, 1, 1, 0
Belarus, 0, 2, 1, 2
Benin, 0, 2, 0, 0
Bolivia, 0, 1, 1, 0
Brazil, 0, 1, 1, 0
Cambodia, 2, 3, 2, 3
Congo, 1, 2, 3, 2
El Salvador, 2, 3, 3, 0
Estonia, 1, 1, 1, 0
Georgia, 2, 3, 3, 3
Ghana, 2, 2, 1, 0
Guatemala, 2, 2, 2, 1
Honduras, 1, 2, 3, 0
Hungary, 1, 1, 0, 0
Indonesia, 2, 3, 2, 2
Madagascar, 2, 1, 2, 0
Mali, 0, 2, 0, 0
Moldova, 1, 2, 2, 0
Mongolia, 2, 1, 1, 1
Mozambique, 2, 3, 3, 3
Namibia, 1, 2, 1, 0
Nepal, 1, 2, 2, 0
Nicaragua, 2, 2, 2, 1
Niger, 0, 3, 0, 3
Nigeria, 3, 3, 3, 2
Pakistan, 1, 2, 2, 0
Paraguay, 1, 2, 3, 0
Peru, 1, 3, 1, 2
Philippines, 3, 3, 3, 2
Poland, 1, 1, 0, 0
Romania, 2, 3, 2, 1
Rwanda, 2, 3, 2, 3
Slovenia, 0, 1, 0, 0
Suriname, 1, 3, 3, 0
Taiwan, 0, 1, 0, 0
Tajikistan, 1, 3, 1, 0
Turkey, 0, 2, 0, 0
Uruguay, 0, 1, 0, 0
Zambia, 2, 3, 3, 3
Zimbabwe, 2, 3, 2, 0
